Victim Name,Group Name,Date Published,Country,Description,Website,Activity,Post URL,Discovered,is_k12
Broward County Public Schools,conti,2021-03-01 00:00:00.000000,US,,,Education Facilities,,2021-03-01 00:00:00.000000,True
Visalia Unified School District,ryuk,2021-05-18 00:00:00.000000,US,,,Education Facilities,,2021-05-18 00:00:00.000000,True
Clover Park School District,grief,2021-05-26 00:00:00.000000,US,,,Education Facilities,,2021-05-26 00:00:00.000000,True
Lancaster Independent School District,grief,2021-06-09 00:00:00.000000,US,,,Education Facilities,,2021-06-09 00:00:00.000000,True
Booneville School District,grief,2021-06-30 00:00:00.000000,US,,,Education Facilities,,2021-06-30 00:00:00.000000,True
Altoona Area School District,quantum,2022-02-02 22:19:08.461959,US,"Altoona Area School District serves K-12th grade students and is located in Altoona, PA.",,Education,,2022-02-02 22:19:08.461959,True
Service Employees' International Union,quantum,2022-04-12 12:16:37.584774,US,"SEIU represents approximately 100,000 members. SEIU represents members who work for school boards, home care agencies, hospitals, special care homes, retirement homes, emergency services, social services, and municipalities, among many others",,Public Service,,2022-04-12 12:16:37.584774,True
Camden City School District,quantum,2022-04-20 04:36:39.513430,US,Camden City School District,,Education,,2022-04-20 04:36:39.513430,True
SIUMED.EDU,clop,2022-12-22 20:02:25.553618,US,SIU School of Medicine Home - SIU School of Medicine,,,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/siumed-edu,2022-12-22 20:02:25.553618,True
bethrivkah.edu,lockbit3,2023-02-03 04:05:35.561659,US,"Founded in 1941 by the previous Lubavitcher Rebbe, Rabbi Yosef I. Schneerson, and led by Rebbe Menachem Mendel Schneerson, Bet Rivka was the world's first Hasidic school for girls. Today, Beth Rivkah has over 2,000 students enrolled in our preschool...",bethrivkah.edu,,,2023-02-03 04:05:35.561659,True
Tucson Unified School District,royal,2023-02-10 13:36:35.232743,US,"Education · Arizona, United States · 6,208 EmployeesFounded in 1867, the Tucson Unified School District is headquartered in Tucson, Arizona.",www.tusd1.org,,,2023-02-10 13:36:35.232743,True
DALLAS SCHOOL DISTRICT,royal,2023-02-20 01:02:03.456789,US,"Dallas School District is centered on students, powered by collaboration, built on equity and driven by excellence.Headquarters: 111 SW Ash St, Dallas, Oregon, 97338, United StatesPhone: (503) 623-5594",www.dallas.k12.or.us,,,2023-02-20 13:38:50.860953,True
sbhc.us,lockbit3,2023-04-19 10:12:00.000000,US,"Southwest Behavioral Health Center (SBHC), created in 1986, is a public provider of comprehensive, integrated mental health and addiction services, offering outpatient, residential, school-based, and community-based programs and services to individua...",sbhc.us,,http://lockbitapt5x4zkjbcqmz6frdhecqqgadevyiwqxukksspnlidyvd7qd.onion/post/MHq5IrfbayYEKhHE643fbe8a8c081,2023-04-19 10:48:27.856095,True
NASHUA SCHOOL DISTRICT,royal,2023-05-18 01:02:03.456789,US,"The Nashua, New Hampshire School District is a city of 88,000 residents with much to offer. Most notably, the City has a long tradition of supporting public education, both with resources and volunteers. The School District doesn't need it's 728GB of data containing SSNs, passports, forms with personal data both of employees and students. Confidential document and a crazy amount of databases will be uploaded here as well. Stay in touch. ",www.nashua.edu,,http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/TgLaULsbGIEIFx8feCqrCHQZU6TuvnWK,2023-05-18 12:56:25.693518,True
pittsburg.k12.ca.us,lockbit3,2023-06-06 20:42:00.000000,US,"Pittsburg Unified School District is a public school district based in Contra Costa County, California, United States.usd250.k12.ks.us\sql_admin:PeekABoo",pittsburg.k12.ca.us,,http://lockbitapt5x4zkjbcqmz6frdhecqqgadevyiwqxukksspnlidyvd7qd.onion/post/etOnPHV85tYInto2647f9a2568287,2023-06-06 21:53:30.081128,True
UMASSMED.EDU,clop,2023-07-10 19:48:02.702532,US,UMass Chan Medical School ,www.UMASSMED.EDU,,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/umassmed-edu,2023-07-10 19:48:02.702569,True
Braintree Public Schools,royal,2023-07-19 01:02:03.456789,US,"Braintree Public Schools is an independent public school district which serves the kindergarten through high school educational needs of the city of Braintree, Massachusetts and the surrounding areas. ",www.braintreema.gov,,http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/NotHkWtvctq3b4QOGJ3kYs46VE4cSuYY,2023-07-19 14:46:59.790838,True
pointpleasant.k12.nj.us,lockbit3,2023-08-03 15:21:00.000000,US,Point Pleasant Borough School District,pointpleasant.k12.nj.us,,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/Z77dYGsHyMYA7Sp864cbc5ef07a78,2023-08-03 16:06:44.057725,True
Emerson School District,medusa,2023-08-08 07:39:43.123450,US,"The Emerson School District is a comprehensive community public school district that serves students in pre-kindergarten through twelfth grade from Emerson, in Bergen County, New Jersey, United States. There are currently about 1,200 students enrolled in the school district.",emerson.k12.nj.us,,http://medusaxko7jxtrojdkxo66j7ck4q5tgktf7uqsqyfry4ebnxlcbkccyd.onion/detail?id=ae08533ecf25bd1cf2e811e85ab0912d,2023-08-08 08:47:15.567506,True
Danbury Public Schools,cryptbb,2023-08-01 00:00:00.000000,US,"Danbury Public Schools is a school district headquartered in Danbury, Connecticut. In 2006 Eddie Davis retired from being superintendent. Salvatore Pascarella succeeded Davis that year.https://www.danbury.k12.ct.us/",danbury.k12.ct.us,,http://basemmnnqwxevlymli5bs36o5ynti55xojzvn246spahniugwkff2pad.onion/company/7890201,2023-09-15 22:31:27.395732,True
Marlboro Township Public School,losttrust,2023-09-26 11:10:14.417659,US,"The Marlboro Township School District is a community public school district that serves students in pre-kindergarten through eighth grade in Marlboro Township in Monmouth County, New Jersey, United States. The district is classified by the New Jersey Department of Education as being in District Factor Group ""I"", the second-highest of eight groupings. District Factor Groups organize districts statewide to allow comparison by common socioeconomic characteristics of the local districts. From lowest socioeconomic status to highest, the categories are A, B, CD, DE, FG, GH, I and J",www.mtps.org,,,2023-09-26 11:10:14.417679,True
Henry County Schools,blacksuit,2023-12-05 02:41:18.416524,US,"Henry County Schools operates high schools, middle schools, and elementary schools throughout the state of Georgia.",www.henry.k12.ga.us,,http://weg7sdx54bevnvulapqu6bpzwztryeflq3s23tegbmnhkbpqz637f2yd.onion/?id=NSOFzDNyglGcgUzP,2023-12-05 02:41:18.416548,True
The Glendale Unified School District,medusa,2023-12-11 04:00:10.123450,US,"The Glendale Unified School District is a school district based in Glendale, California, United States. It consists of 20 elementary schools, 4 middle schools, 4 high schools and 3 facilities for homeschoolers and special-needs students.It currently has about 20,000 students",gusd.net,,http://medusaxko7jxtrojdkxo66j7ck4q5tgktf7uqsqyfry4ebnxlcbkccyd.onion/detail?id=4029d5386c614d7d2e9e73a85b866942,2023-12-11 05:40:35.397969,True
